id,"block_type","message"
1,"HACK","Your account has been blocked for hacking or illegal use of third-party programs."
2,"BOT","Your account has been blocked for using macro / auto-keyboard."
3,"AD","Your account has been blocked for illicit promotion and advertising."
4,"HARASS","Your account has been blocked for harassment."
5,"CURSE","Your account has been blocked for using profane language."
6,"SCAM","Your account has been blocked for scamming."
7,"MISCONDUCT","Your account has been blocked for misconduct."
8,"SELL","Your account has been blocked for illegal cash transaction"
9,"ICASH","Your account has been blocked for illegal charging/funding. Please contact customer support for further details."
10,"TEMP","Your account has been blocked for temporary request. Please contact customer support for further details."
11,"GM","Your account has been blocked for impersonating GM. "
12,"IPROGRAM","Your account has been blocked for using illegal programs or violating the game policy. "
13,"MEGAPHONE","Your account has been blocked for one of cursing, scamming, or illegal trading via Megaphones."
