itemid,evolution_itemid,chance
5000028,5000029,100
5000029,5000030,33
5000029,5000031,33
5000029,5000032,33
5000029,5000033,1
5000030,5000031,49
5000030,5000032,49
5000030,5000033,2
5000031,5000030,49
5000031,5000032,49
5000031,5000033,2
5000032,5000030,49
5000032,5000031,49
5000032,5000033,2
5000033,5000030,30
5000033,5000031,35
5000033,5000032,35
5000047,5000048,1000
5000048,5000049,330
5000048,5000050,330
5000048,5000051,330
5000048,5000052,9
5000048,5000053,1
5000049,5000050,495
5000049,5000051,495
5000049,5000052,9
5000049,5000053,1
5000050,5000049,495
5000050,5000051,495
5000050,5000052,9
5000050,5000053,1
5000051,5000049,495
5000051,5000050,495
5000051,5000052,9
5000051,5000053,1
5000052,5000049,330
5000052,5000050,330
5000052,5000051,330
5000052,5000053,10
5000053,5000049,330
5000053,5000050,330
5000053,5000051,330
5000053,5000052,10
