tierid,itemid,price
1,2070000,0.3
1,2070001,0.4
1,2070002,0.5
1,2070003,0.6
1,2070004,0.6
1,2070005,0.7
1,2070006,0.8
1,2070007,1.0
1,2070008,1.0
1,2070009,1.0
1,2070010,1.0
1,2070011,1.0
1,2070016,1.0
1,2330000,0.3
1,2330001,0.4
1,2330002,0.5
1,2330003,0.6
1,2330004,0.7
1,2330005,0.8
1,2331000,0.7
1,2332000,0.7
2,2070000,1.0
2,2070001,2.0
2,2070002,3.0
2,2070003,4.0
2,2070004,4.0
2,2070005,5.0
2,2070006,6.0
2,2070007,7.0
2,2070008,3.0
2,2070009,4.0
2,2070010,5.0
2,2070011,1.0
2,2070016,1.0
2,2330000,1.0
2,2330001,2.0
2,2330002,3.0
2,2330003,4.0
2,2330004,5.0
2,2330005,6.0
2,2331000,6.0
2,2332000,6.0
3,2070000,0.4
3,2070001,0.5
3,2070002,0.6
3,2070003,0.7
3,2070004,0.7
3,2070005,0.8
3,2070006,0.9
3,2070007,1.0
3,2070008,1.0
3,2070009,1.0
3,2070010,1.0
3,2070011,1.0
3,2070016,1.0
3,2330000,0.3
3,2330001,0.4
3,2330002,0.5
3,2330003,0.6
3,2330004,0.7
3,2330005,0.8
3,2331000,0.7
3,2332000,0.7
4,2070000,0.3
4,2070001,0.4
4,2070002,0.5
4,2070003,0.6
4,2070004,0.6
4,2070005,0.7
4,2070006,0.8
4,2070007,1.0
4,2070008,1.0
4,2070009,1.0
4,2070010,1.0
4,2070011,1.0
4,2070013,0.6
4,2070016,1.0
4,2070018,2.0
4,2330000,0.3
4,2330001,0.4
4,2330002,0.5
4,2330003,0.6
4,2330004,0.7
4,2330005,0.8
4,2331000,0.7
4,2332000,0.7
5,2070000,0.3
5,2070001,0.4
5,2070002,0.5
5,2070003,0.6
5,2070004,0.6
5,2070005,0.7
5,2070006,0.8
5,2070007,1.0
5,2070008,1.0
5,2070009,1.0
5,2070010,1.0
5,2070011,1.0
5,2070013,0.6
5,2070016,1.0
5,2070018,2.0
5,2330000,0.3
5,2330001,0.4
5,2330002,0.5
5,2330003,0.6
5,2330004,0.7
5,2330005,0.8
5,2331000,0.7
5,2332000,0.7
6,2070000,0.3
6,2070001,0.4
6,2070002,0.5
6,2070003,0.6
6,2070004,0.6
6,2070005,0.7
6,2070006,0.8
6,2070007,1.0
6,2070008,1.0
6,2070009,1.0
6,2070010,1.0
6,2070011,1.0
6,2070013,0.6
6,2070016,1.0
6,2070018,2.0
6,2330000,0.3
6,2330001,0.4
6,2330002,0.5
6,2330003,0.6
6,2330004,0.7
6,2330005,0.8
6,2331000,0.7
6,2332000,0.7
7,2070000,0.4
7,2070001,0.5
7,2070002,0.6
7,2070003,0.7
7,2070004,0.7
7,2070005,0.8
7,2070006,0.9
7,2070007,1.1
7,2070008,1.1
7,2070009,1.1
7,2070010,1.1
7,2070011,1.0
7,2070013,0.6
7,2070016,2.0
7,2070018,3.0
7,2330000,0.3
7,2330001,0.4
7,2330002,0.5
7,2330003,0.6
7,2330004,0.7
7,2330005,0.8
7,2331000,0.7
7,2332000,0.7
8,2070000,0.3
8,2070001,0.4
8,2070002,0.5
8,2070003,0.6
8,2070004,0.6
8,2070005,0.7
8,2070006,0.8
8,2070007,1.0
8,2070008,1.0
8,2070009,1.0
8,2070010,1.0
8,2070011,1.0
8,2070013,0.6
8,2070016,1.0
8,2070018,2.0
8,2330000,0.3
8,2330001,0.4
8,2330002,0.5
8,2330003,0.6
8,2330004,0.7
8,2330005,0.8
8,2331000,0.7
8,2332000,0.7
9,2070000,0.3
9,2070001,0.4
9,2070002,0.5
9,2070003,0.6
9,2070004,0.6
9,2070005,0.7
9,2070006,0.8
9,2070007,1.0
9,2070008,1.0
9,2070009,1.0
9,2070010,1.0
9,2070011,1.0
9,2070013,0.6
9,2070016,1.0
9,2070018,2.0
9,2330000,0.3
9,2330001,0.4
9,2330002,0.5
9,2330003,0.6
9,2330004,0.7
9,2330005,0.8
9,2331000,0.7
9,2332000,0.7
10,2070000,0.3
10,2070001,0.4
10,2070002,0.5
10,2070003,0.6
10,2070004,0.6
10,2070005,0.7
10,2070006,0.8
10,2070007,1.0
10,2070008,1.0
10,2070009,1.0
10,2070010,1.0
10,2070011,1.0
10,2070012,0.8
10,2070013,0.6
10,2070016,1.0
11,2070016,1.0
12,2070016,1.0
12,2070018,1.0
13,2070000,0.3
13,2070001,0.4
13,2070002,0.5
13,2070003,0.6
13,2070004,0.6
13,2070005,0.7
13,2070006,0.8
13,2070007,1.0
13,2070008,1.0
13,2070009,1.0
13,2070010,1.0
13,2070011,1.0
13,2070016,1.0
14,2070000,0.3
14,2070001,0.4
14,2070002,0.5
14,2070003,0.6
14,2070004,0.6
14,2070005,0.7
14,2070006,0.8
14,2070007,1.0
14,2070008,1.0
14,2070009,1.0
14,2070010,1.0
14,2070011,1.0
14,2070013,0.6
14,2070016,1.0
14,2330001,0.4
14,2330002,0.5
14,2330003,0.6
14,2330004,0.7
14,2330005,0.8
14,2331000,0.7
14,2332000,0.7
